,Comment,toxic,severe_toxic,obscene,threat,insult,identity_hate,total_classes
0,"This <a href="" will solve everything for long distance <a href=""",0,0,0,0,0,0,0
1,Where can I Buy link please 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,0,0,0,0,0,0
2,But i fall in love with you the you deliver the words baby,0,0,1,0,0,0,1
3,Apko kiss nhi chahiye kya,1,0,1,0,0,0,2
4,I just wanna kiss you,0,0,1,0,0,0,1
5,@vishal 🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,0,0,0,0,0,0
6,Mujhe aap ko kiss karna hai,1,0,1,0,0,0,2
7,Aap ko kiss chahiye kya,1,0,1,0,0,0,2
8,Aisa Cheez Hamara Assam Me Mat Ana ,1,0,0,1,0,1,3
9,Ap ko bhe kr skta hu mai kiss,0,1,1,0,0,0,2
10,Chinese maal hai,0,0,0,0,1,1,2
11,Very cute ,0,0,0,0,0,0,0
12,Madam aap bahut cute ho,0,0,0,0,0,0,0
13,I love you,0,0,0,0,0,0,0
14,mujhe toh apko karna hai,0,1,1,0,0,0,2
15,Koi subscribe mat krns begairat orat ko ... Ghar ss nikalne ka nateeja h,0,1,1,0,1,1,4
16,"<a href="" full video link",0,0,0,0,0,0,0
17,Tum bohot sexy,1,0,1,0,0,0,2
18,Apko kissi karne k liye kya karna padega janam,0,1,1,0,0,0,2
19,Bolu kya hasi nhi ruk rhi,0,0,0,0,0,0,0
20,Iam from assm,0,0,0,0,0,0,0
21,"Online sex aap na bna de ye saab online  ,🤣🤣🤣",0,1,0,0,0,0,1
22,Kardunga kitini bar mang rahi ho,1,1,1,0,0,0,3
23,1 land 1 chut ,1,0,1,0,0,0,2
24,Ap moje kiss  karoge,0,0,0,0,0,0,0
25,"Even I know what do you want, definitely not a subscribe.",0,0,0,0,0,0,0
26,Aur jiska Partner he nahi rehegi tho  .,0,0,0,0,0,0,0
27,Mai to itna single hu k ab mujhe lagata h k japani order krni padegi  ye dukh kahe Khatam nhi hota be ,0,0,0,0,0,0,0
28,,0,0,0,0,0,0,0
29,Kuch saal bad dur se hi dalne Wale machine aayegaa ,1,0,1,0,0,0,2
30,or muje ap chiye ho ,0,0,1,0,0,0,1
31,Ye to bacche bhi mobile se hi peda kara sakte hai,0,0,0,0,0,0,0
32,,0,0,0,0,0,0,0
33,Muje to chuu chiye,0,1,1,0,0,0,2
34,Kya is divice ke andar apna saman dalkar direct apne partner ko chusaya ja sakta hai ,1,1,0,0,0,0,2
35,Mera. Laoraa. ,1,1,0,1,0,0,3
36,Muje kiss chaiye subscribe nhi karunga 🤣,0,1,1,0,0,0,2
37,Tumre sath ho ju,0,0,0,0,0,0,0
38,Le bhai invention bhi china me hua hai matlab samchh rhe ho na vinod ,0,0,0,0,0,0,0
39,Subscribe theek hai par tujhe Kiss aur sex nahin chahie,0,1,1,1,0,0,3
40,You are so cute<br>🥰,0,0,0,0,0,0,0
41,Aapko long l**d chayie,1,1,1,0,0,0,3
42,Hum toh earphone par hi dabba k kiss karr lete hain ussi se hi poora system khada ho jata hai,1,1,0,0,0,0,2
43,Iski video dekhne wale knowledge k liye nhi ise dekh k hilane k liye video dekhte h,0,1,1,0,1,1,4
44,tujhe lauda chahiye aur kuch nahi,0,1,1,0,1,0,3
45,Device toh le legay patner kon dega ??,0,0,0,0,0,0,0
46,Tu L chahti hai bs,1,1,0,0,0,1,3
47,Nai caroga ba,0,0,0,0,0,0,0
48,BJ k liye v use ho jayegi🤣,1,1,0,0,0,0,2
49, You’re too talented ,0,0,0,0,0,0,0
50,Pata kese chalega ki mujhe mera partner hi kiss kar rha h.,1,0,0,0,0,0,1
51,🤭🤭🤭🤭🤭,0,0,0,0,0,0,0
52,Ha nakli device kisko chayye me bhi janta hu muje kya chayye tumari kiss,1,0,1,0,0,0,2
